,red,green,blue,power
0,0,0,0,409.0051914819918
1,0,0,89,618.9965037825868
2,0,0,124,774.2733155274963
3,0,0,149,925.9106049235538
4,0,0,170,1142.4102926042738
5,0,0,188,1306.9476288017374
6,0,0,203,1415.9490715037446
7,0,0,218,1612.2034186083897
8,0,0,231,1770.672184227448
9,0,0,243,1824.675203085711
10,0,0,255,1875.9656979903014
11,0,89,0,489.7243688584507
12,0,89,89,663.5640030465983
13,0,89,124,792.5382028956524
14,0,89,149,998.319676633264
15,0,89,170,1170.1615471891814
16,0,89,188,1353.6957630445847
17,0,89,203,1473.047654682764
18,0,89,218,1593.1064680263935
19,0,89,231,1729.808530368726
20,0,89,243,1840.237284401765
21,0,89,255,1873.532231657609
22,0,124,0,573.6371154401154
23,0,124,89,711.4687151654795
24,0,124,124,871.6203424669985
25,0,124,149,1029.474005908021
26,0,124,170,1194.2189148790412
27,0,124,188,1371.1874166433834
28,0,124,203,1477.5157108795242
29,0,124,218,1651.0025788982186
30,0,124,231,1780.1035288169326
31,0,124,243,1858.7832981694394
32,0,124,255,1962.1071084014577
33,0,149,0,738.8578706233017
34,0,149,89,818.4893566023796
35,0,149,124,1007.543479815299
36,0,149,149,1100.0813592150334
37,0,149,170,1300.5875535481205
38,0,149,188,1487.1934283822422
39,0,149,203,1618.9419765582543
40,0,149,218,1744.609873941732
41,0,149,231,1909.8596667240786
42,0,149,243,2015.8394076068032
43,0,149,255,2083.841607865689
44,0,170,0,802.4750362120564
45,0,170,89,953.4792980393507
46,0,170,124,1068.5789227909095
47,0,170,149,1213.654249155066
48,0,170,170,1416.7883228880019
49,0,170,188,1567.1544977217663
50,0,170,203,1691.6720036254765
51,0,170,218,1855.4570226203825
52,0,170,231,2028.8465047363165
53,0,170,243,2030.9780311650782
54,0,170,255,2115.9836590811674
55,0,188,0,917.5807191947027
56,0,188,89,1039.987287423981
57,0,188,124,1178.045089593086
58,0,188,149,1299.1525275651575
59,0,188,170,1511.3121766350525
60,0,188,188,1687.9219421418811
61,0,188,203,1784.93086142464
62,0,188,218,1925.4094080050215
63,0,188,231,2103.989065201001
64,0,188,243,2175.3232742159544
65,0,188,255,2238.594594697825
66,0,203,0,1033.041490679961
67,0,203,89,1146.2003291399878
68,0,203,124,1266.0221709949667
69,0,203,149,1418.648793244738
70,0,203,170,1636.8917934489323
71,0,203,188,1765.6377437997314
72,0,203,203,1885.8699716745894
73,0,203,218,2046.9930290813163
74,0,203,231,2141.4397607446735
75,0,203,243,2225.5086106588587
76,0,203,255,2299.246873263411
77,0,218,0,1160.3801299281918
78,0,218,89,1270.180202528303
79,0,218,124,1368.2741422951942
80,0,218,149,1552.958714043914
81,0,218,170,1717.4442071651627
82,0,218,188,1870.1968184501823
83,0,218,203,1972.0926882369488
84,0,218,218,2121.4921555993974
85,0,218,231,2247.047802473152
86,0,218,243,2311.2811125671683
87,0,218,255,2409.59919716996
88,0,231,0,1288.2734137788514
89,0,231,89,1342.6702494976173
90,0,231,124,1479.8941968920792
