,red,green,blue,power
0,0,0,0,225.12335308161641
1,0,0,33,269.9323577523321
2,0,0,66,311.378898473789
3,0,0,89,352.16421872235003
4,0,0,124,430.4399734689365
5,0,0,149,519.1438174420662
6,0,0,170,620.0176897222715
7,0,0,188,709.1111700716369
8,0,0,203,782.1310097748685
9,0,0,218,894.6583521294945
10,0,0,231,964.500663423264
11,0,0,243,1071.7819854892941
12,0,0,255,1156.8414067684141
13,0,33,0,235.8192589972588
14,0,33,33,343.2724700473053
15,0,33,66,319.8585197630206
16,0,33,89,365.6981165443452
17,0,33,124,431.43968871595337
18,0,33,149,532.3898814788608
19,0,33,170,624.602865735008
20,0,33,188,694.3994339288873
21,0,33,203,791.267580716497
22,0,33,218,882.5087354593304
23,0,33,231,980.4255319148936
24,0,33,243,1072.564023176611
25,0,33,255,1159.286946520989
26,0,66,0,255.1737554160403
27,0,66,33,301.56267963740873
28,0,66,66,402.38758456028654
29,0,66,89,297.474354439335
30,0,66,124,451.5848155030528
31,0,66,149,544.0834917967541
32,0,66,170,626.585301140886
33,0,66,188,718.7574671445639
34,0,66,203,845.20077834778
35,0,66,218,971.5969733174034
36,0,66,231,1059.316201512672
37,0,66,243,1070.5732484076432
38,0,66,255,1162.8539832795152
39,0,89,0,274.52825183482184
40,0,89,33,314.7652312317623
41,0,89,66,354.49288177557696
42,0,89,89,394.74731396736973
43,0,89,124,466.6071191686933
44,0,89,149,558.8078708821578
45,0,89,170,649.480433340703
46,0,89,188,810.557226251548
47,0,89,203,811.0666902529631
48,0,89,218,916.6068111455108
49,0,89,231,1058.250331711632
50,0,89,243,1154.547545333923
51,0,89,255,1171.2144405609874
52,0,124,0,324.95180829427886
53,0,124,33,379.466772781536
54,0,124,66,400.3855847888569
55,0,124,89,432.15925680159256
56,0,124,124,518.0790660652692
57,0,124,149,591.4615486666962
58,0,124,170,678.6060498850168
59,0,124,188,835.5209623208916
60,0,124,203,839.5966743322131
61,0,124,218,1009.8916360741299
62,0,124,231,1018.0891719745222
63,0,124,243,1180.1273885350317
64,0,124,255,1284.1900380429975
65,0,149,0,372.86169083834454
66,0,149,33,492.033426183844
67,0,149,66,510.59583314902466
68,0,149,89,496.63954722320483
69,0,149,124,571.8462151041897
70,0,149,149,717.2618731759086
71,0,149,170,729.520187502764
72,0,149,188,817.6535621102906
73,0,149,203,885.5659250740856
74,0,149,218,968.87669778348
75,0,149,231,1151.6942404671327
76,0,149,243,1220.4361480957227
77,0,149,255,1250.667138559547
78,0,170,0,436.0240537672445
79,0,170,33,473.6758334070209
80,0,170,66,505.32124695998226
81,0,170,89,545.5394411036435
82,0,170,124,615.3780843725125
